Time [s], Analyzer Name, Decoded Protocol Result
1.212357250000000,I2C,'27' (0x1B) + ACK
1.212424625000000,I2C,'20' (0x14) + ACK
1.212491875000000,I2C,` (0x60) + ACK
1.212559125000000,I2C,e (0x65) + ACK
1.212626500000000,I2C,$ (0x24) + ACK
1.212693750000000,I2C,'253' (0xFD) + ACK
1.212761000000000,I2C,` (0x60) + ACK
1.212828250000000,I2C,^ (0x5E) + ACK
1.212895625000000,I2C,$ (0x24) + ACK
1.212962875000000,I2C,'254' (0xFE) + ACK
1.213030125000000,I2C,` (0x60) + ACK
1.213097500000000,I2C,* (0x2A) + ACK
1.213164750000000,I2C,$ (0x24) + ACK
1.213232000000000,I2C,'250' (0xFA) + ACK
1.213299375000000,I2C,` (0x60) + ACK
1.213366625000000,I2C,& (0x26) + ACK
1.213433875000000,I2C,$ (0x24) + ACK
1.213501250000000,I2C,\r (0x0D) + ACK
1.213568500000000,I2C,p (0x70) + ACK
1.213635750000000,I2C,u (0x75) + ACK
1.213703125000000,I2C,'144' (0x90) + ACK
1.213770375000000,I2C,'252' (0xFC) + ACK
1.213837625000000,I2C,'11' (0x0B) + ACK
1.213904875000000,I2C,'224' (0xE0) + ACK
1.213972250000000,I2C,T (0x54) + ACK
1.214039500000000,I2C,'239' (0xEF) + ACK
1.214106750000000,I2C,'240' (0xF0) + ACK
1.214174125000000,I2C," (0x22) + ACK
1.214241375000000,I2C,'144' (0x90) + ACK
1.214308625000000,I2C,'252' (0xFC) + ACK
1.214376000000000,I2C,'8' (0x08) + ACK
1.214443250000000,I2C,'224' (0xE0) + ACK
1.214510500000000,I2C,T (0x54) + ACK
1.214577875000000,I2C,'253' (0xFD) + ACK
1.214645125000000,I2C,'240' (0xF0) + ACK
1.214712375000000,I2C,'224' (0xE0) + ACK
1.214779750000000,I2C,D (0x44) + ACK
1.214847000000000,I2C,'1' (0x01) + ACK
1.214914250000000,I2C,'240' (0xF0) + ACK
1.214981625000000,I2C,C (0x43) + ACK
1.215048875000000,I2C,'157' (0x9D) + ACK
1.215116125000000,I2C,'7' (0x07) + ACK
1.215183375000000,I2C,'229' (0xE5) + ACK
1.215250750000000,I2C,C (0x43) + ACK
1.215318000000000,I2C,'180' (0xB4) + ACK
1.215385250000000,I2C,'1' (0x01) + ACK
1.215452625000000,I2C,'7' (0x07) + ACK
1.215519875000000,I2C,'144' (0x90) + ACK
1.215587125000000,I2C,'252' (0xFC) + ACK
1.215654500000000,I2C,D (0x44) + ACK
1.215721750000000,I2C,'224' (0xE0) + ACK
1.215789000000000,I2C,D (0x44) + ACK
1.215856375000000,I2C,'16' (0x10) + ACK
1.215923625000000,I2C,'240' (0xF0) + ACK
1.215990875000000,I2C,'229' (0xE5) + ACK
1.216058250000000,I2C,D (0x44) + ACK
1.216125500000000,I2C,p (0x70) + ACK
1.216192750000000,I2C,'22' (0x16) + ACK
1.216260125000000,I2C,'144' (0x90) + ACK
1.216327375000000,I2C,'248' (0xF8) + ACK
1.216394625000000,I2C,'11' (0x0B) + ACK
1.216461875000000,I2C,'224' (0xE0) + ACK
1.216529250000000,I2C,T (0x54) + ACK
1.216596500000000,I2C,'239' (0xEF) + ACK
1.216663750000000,I2C,'240' (0xF0) + ACK
1.216731125000000,I2C,'144' (0x90) + ACK
1.216798375000000,I2C,'248' (0xF8) + ACK
1.216865625000000,I2C,'4' (0x04) + ACK
1.216933000000000,I2C,'224' (0xE0) + ACK
1.217000250000000,I2C,D (0x44) + ACK
1.217067500000000,I2C,'16' (0x10) + ACK
1.217134875000000,I2C,'240' (0xF0) + ACK
1.217202125000000,I2C,'144' (0x90) + ACK
1.217269375000000,I2C,'248' (0xF8) + ACK
1.217336750000000,I2C,\t (0x09) + ACK
1.217404000000000,I2C,'224' (0xE0) + ACK
1.217471250000000,I2C,D (0x44) + ACK
1.217538625000000,I2C,'8' (0x08) + ACK
1.217605875000000,I2C,'240' (0xF0) + ACK
1.217673125000000,I2C," (0x22) + ACK
1.217740375000000,I2C,'144' (0x90) + ACK
1.217807750000000,I2C,'248' (0xF8) + ACK
1.217875000000000,I2C,G (0x47) + ACK
1.217942250000000,I2C,'224' (0xE0) + ACK
1.218009625000000,I2C,D (0x44) + ACK
1.218076875000000,I2C,'7' (0x07) + ACK
1.218144125000000,I2C,'240' (0xF0) + ACK
1.218211500000000,I2C,'144' (0x90) + ACK
1.218278750000000,I2C,'248' (0xF8) + ACK
1.218346000000000,I2C,'4' (0x04) + ACK
1.218413375000000,I2C,'224' (0xE0) + ACK
1.218480625000000,I2C,D (0x44) + ACK
1.218547875000000,I2C,0 (0x30) + ACK
1.218615250000000,I2C,'240' (0xF0) + ACK
1.218682500000000,I2C,'144' (0x90) + ACK
1.218749750000000,I2C,'248' (0xF8) + ACK
1.218817000000000,I2C,\t (0x09) + ACK
1.218884375000000,I2C,'224' (0xE0) + ACK
1.218951625000000,I2C,D (0x44) + ACK
1.219018875000000,I2C,'24' (0x18) + ACK
1.219086250000000,I2C,'240' (0xF0) + ACK
1.219153500000000,I2C," (0x22) + ACK
1.219220750000000,I2C,'2' (0x02) + ACK
1.219288125000000,I2C,'200' (0xC8) + ACK
1.219355375000000,I2C,'200' (0xC8) + ACK
1.219422625000000,I2C,'229' (0xE5) + ACK
1.219490000000000,I2C,@ (0x40) + ACK
1.219557250000000,I2C,'195' (0xC3) + ACK
1.219624500000000,I2C,'148' (0x94) + ACK
1.219691875000000,I2C,'7' (0x07) + ACK
1.219759125000000,I2C,P (0x50) + ACK
1.219826375000000,I2C,\r (0x0D) + ACK
1.219893750000000,I2C,'144' (0x90) + ACK
1.219961000000000,I2C,'251' (0xFB) + ACK
1.220028250000000,I2C,O (0x4F) + ACK
1.220095500000000,I2C,'224' (0xE0) + ACK
1.220162875000000,I2C,0 (0x30) + ACK
1.220230125000000,I2C,'228' (0xE4) + ACK
1.220297375000000,I2C,'6' (0x06) + ACK
1.220364750000000,I2C,0 (0x30) + ACK
1.220432000000000,I2C,'5' (0x05) + ACK
1.220499250000000,I2C,'3' (0x03) + ACK
1.220566625000000,I2C,'194' (0xC2) + ACK
1.220633875000000,I2C,'5' (0x05) + ACK
1.220701125000000,I2C," (0x22) + ACK
1.220768500000000,I2C,'144' (0x90) + ACK
1.220835750000000,I2C,'251' (0xFB) + ACK
1.220903000000000,I2C,O (0x4F) + ACK
1.220970375000000,I2C,'224' (0xE0) + ACK
1.221037625000000,I2C,' ' (0x20) + ACK
1.221104875000000,I2C,'228' (0xE4) + ACK
1.221172250000000,I2C,'5' (0x05) + ACK
1.221239500000000,I2C,' ' (0x20) + ACK
1.221306750000000,I2C,'5' (0x05) + ACK
1.221374000000000,I2C,'2' (0x02) + ACK
1.221441375000000,I2C,'210' (0xD2) + ACK
1.221508625000000,I2C,'5' (0x05) + ACK
